RentID,RentDate,StaffID,LibrarianID,Payment
80,1997-11-24,41,1647,Debit
81,2000-06-17,115,1389,Debit
82,2009-09-11,97,805,Credit
83,2004-09-02,188,665,Emoney
84,2013-01-05,56,972,Cash
85,2003-12-04,162,1489,Cash
86,2013-08-27,46,237,Debit
87,2013-10-12,48,1343,Credit
88,2014-09-11,13,1312,Credit
89,2014-05-17,161,735,Cash
90,1996-08-04,131,1239,Debit
91,2013-08-11,101,544,Credit
92,2015-10-18,118,1286,Emoney
93,2020-07-11,76,1191,Emoney
94,1997-10-16,52,1816,Emoney
95,2014-05-31,81,934,Credit
96,2018-10-12,141,1821,Emoney
97,2003-09-18,194,1462,Credit
98,2013-04-24,16,1761,Cash
99,2019-04-18,95,1970,Credit
100,2015-04-08,152,1079,Emoney
101,2004-09-19,158,1359,Emoney
102,2018-07-24,140,1292,Credit
103,2004-01-24,72,1190,Credit
104,2020-09-17,123,1459,Credit
105,2002-04-05,181,1256,Credit
106,2017-05-26,14,1293,Credit
107,2011-07-12,70,1099,Emoney
108,2000-03-26,193,351,Credit
109,2014-11-01,34,1888,Debit
110,2020-10-24,113,327,Credit
111,2005-04-08,4,265,Debit
112,2013-01-16,158,807,Cash
113,2013-11-18,84,1075,Cash
114,1996-12-15,103,1861,Debit
115,2007-10-29,1,1813,Emoney
116,1998-07-08,150,1336,Emoney
117,2011-11-18,195,195,Cash
118,1995-03-01,165,213,Credit
119,2016-12-21,56,877,Debit
120,1996-09-18,161,830,Cash
121,2020-02-18,109,330,Credit
122,2008-08-24,18,1702,Debit
123,2005-04-12,146,1176,Emoney
124,2006-01-19,74,1374,Emoney
125,2013-12-06,125,406,Emoney
126,2015-04-14,7,1579,Credit
127,2010-06-07,85,1017,Credit
128,2019-04-15,163,889,Debit
129,2005-05-13,150,1821,Credit
130,2018-03-22,38,820,Cash
131,1998-10-06,1,768,Debit
132,2020-01-09,187,265,Cash
133,2000-02-27,167,355,Credit
134,1999-01-27,6,1962,Cash
135,2001-11-30,178,663,Emoney
136,2000-02-20,133,1514,Emoney
137,2003-05-26,72,557,Cash
138,2001-03-10,100,507,Debit
139,2006-06-14,66,53,Cash
140,2012-02-25,9,1236,Cash
141,2005-07-23,104,1693,Emoney
142,2014-08-15,129,1100,Cash
143,2014-07-20,121,5,Cash
144,2017-01-05,118,997,Emoney
145,2007-10-12,83,1398,Credit
146,2005-01-29,62,889,Credit
147,1999-06-06,45,1977,Credit
148,2002-01-08,150,1196,Debit
149,2019-04-13,57,516,Emoney
150,2003-03-04,176,761,Emoney
151,2012-03-15,110,326,Debit
152,2014-11-28,80,1678,Debit
153,1996-07-10,62,333,Credit
154,1998-10-31,81,563,Cash
155,2012-11-08,153,627,Emoney
156,2004-05-04,100,1847,Credit
157,1996-04-06,83,1800,Cash
158,2011-11-24,194,1271,Emoney
159,2000-07-09,97,1994,Cash
160,2019-04-28,23,1403,Debit
161,2003-08-02,146,1649,Credit
162,2014-01-07,24,422,Debit
163,2014-06-24,90,755,Credit
164,2020-07-08,197,408,Emoney
165,2006-08-24,4,183,Credit
166,2016-12-20,88,1091,Credit
167,2017-10-30,12,112,Emoney
168,2013-09-29,118,1216,Credit
169,2010-09-15,76,1731,Cash
170,2014-08-27,190,500,Debit
171,1998-07-08,160,307,Credit
172,2019-08-26,9,1244,Credit
173,2005-10-25,115,511,Emoney
174,2012-06-06,127,1122,Credit
175,2012-06-20,67,753,Credit
176,2014-06-11,140,1156,Cash
177,2008-07-21,53,776,Debit
178,2013-03-11,100,1382,Cash
179,2003-10-11,137,221,Debit
180,2006-09-20,89,777,Emoney
181,2003-05-02,112,775,Credit
182,2014-02-15,191,780,Emoney
183,2004-10-25,24,865,Debit
184,1995-09-07,29,1194,Credit
185,1995-12-28,95,1008,Emoney
186,2010-06-05,79,1171,Emoney
187,2020-09-01,34,1485,Credit
188,2010-11-15,33,1309,Cash
189,2015-05-19,25,1842,Debit
190,2013-10-28,75,229,Credit
191,2013-10-22,51,1386,Cash
192,1999-05-15,191,381,Credit
193,2018-04-11,169,1362,Cash
194,2003-07-16,6,110,Debit
195,1998-10-29,168,1444,Debit
196,2020-09-29,88,1333,Cash
197,2013-11-17,165,821,Cash
198,2002-02-04,44,1839,Cash
199,1995-06-23,179,1630,Emoney
200,1995-07-02,180,936,Emoney
201,2019-05-11,23,1488,Emoney
202,2016-03-27,65,97,Cash
203,1999-08-27,12,1071,Credit
204,2014-11-25,154,947,Emoney
205,2015-10-10,92,370,Cash
206,2016-07-06,78,38,Debit
207,2019-11-22,33,838,Debit
208,2012-09-21,56,891,Emoney
209,2007-04-30,110,1488,Debit
210,2013-11-20,37,1074,Emoney
211,2018-05-01,143,701,Cash
212,2012-04-19,144,351,Credit
213,2016-05-09,84,1759,Debit
214,1996-04-25,21,1431,Debit
215,2001-10-12,29,1535,Debit
216,2008-09-30,172,1810,Debit
217,1996-06-23,155,1477,Credit
218,2004-03-21,133,1293,Cash
219,2002-06-17,135,1840,Credit
220,2011-07-18,126,15,Credit
221,1996-12-04,200,579,Cash
222,2007-02-27,63,1603,Credit
223,2011-06-26,109,621,Credit
224,2020-07-01,92,682,Cash
225,2000-12-02,31,382,Emoney
226,1997-04-08,38,252,Cash
227,1998-12-05,135,862,Emoney
228,1995-10-02,19,1564,Debit
229,1998-08-30,15,968,Emoney
230,2012-07-18,184,106,Debit
231,2017-05-11,84,561,Credit
232,1998-05-27,195,189,Cash
233,2004-11-29,160,790,Debit
234,2013-10-09,161,1552,Emoney
235,2015-06-08,60,67,Cash
236,2010-05-19,90,240,Credit
237,1998-04-14,15,1942,Debit
238,2020-07-16,68,1238,Debit
239,2020-10-15,86,732,Credit
240,2005-06-02,166,781,Emoney
241,2008-05-02,195,1998,Cash
242,2020-04-28,49,126,Emoney
243,2013-02-10,137,1436,Credit
244,2020-12-28,43,1744,Emoney
245,1996-08-12,18,1082,Credit
246,2010-04-19,145,1384,Emoney
247,2009-06-27,15,186,Cash
248,2006-12-29,99,1132,Credit
249,2012-04-17,185,1434,Emoney
250,2007-12-27,114,1603,Emoney
251,2020-10-21,82,984,Credit
252,1999-01-06,171,890,Credit
253,2006-05-17,137,577,Credit
254,1999-10-05,118,45,Credit
255,2007-09-05,186,1044,Credit
256,2011-11-28,3,1854,Cash
257,2010-11-27,115,369,Emoney
258,1997-05-31,11,227,Cash
259,1996-09-06,144,1247,Credit
260,1999-03-11,35,74,Cash
261,2005-09-23,42,220,Credit
262,2003-01-04,39,1129,Emoney
263,2018-06-10,137,1215,Cash
264,2008-08-29,64,1500,Cash
265,2001-09-13,189,255,Cash
266,2005-05-07,98,102,Emoney
267,1998-03-23,57,1600,Debit
268,2012-10-20,86,797,Cash
269,2006-10-27,9,259,Emoney
270,2005-01-25,128,1753,Cash
271,2008-02-16,189,1966,Debit
272,2017-08-23,98,1414,Debit
273,2002-05-06,73,1224,Debit
274,2005-11-05,73,172,Emoney
275,2017-05-12,10,1614,Debit
276,2014-04-24,102,91,Credit
277,2013-09-26,111,1813,Cash
278,1995-11-04,166,1315,Cash
279,2012-11-17,9,1639,Emoney
280,1997-04-22,37,1202,Debit
281,2006-07-19,14,312,Credit
282,2011-01-23,194,1084,Credit
283,1999-03-30,124,601,Credit
284,2015-10-21,86,940,Debit
285,2016-04-17,25,712,Emoney
286,2015-01-07,95,1585,Emoney
287,1995-12-29,123,900,Cash
288,2005-11-04,77,250,Cash
289,1997-02-19,139,1397,Credit
290,2002-08-26,84,397,Cash
291,2000-03-13,151,1819,Emoney
292,2010-01-05,163,1609,Emoney
293,2008-08-03,97,1675,Emoney
294,1997-11-13,84,1749,Emoney
295,2020-07-20,55,513,Emoney
296,2010-06-08,56,558,Emoney
297,2008-02-03,110,867,Cash
298,2003-10-14,33,1215,Debit
299,1996-09-17,15,697,Debit
300,2020-11-11,100,1099,Cash
301,2018-05-20,200,1080,Debit
302,2007-05-21,159,1557,Credit
303,2001-10-14,59,820,Credit
304,2000-08-06,197,1562,Emoney
305,2006-04-27,138,1368,Credit
306,2009-01-18,1,95,Debit
307,2010-07-17,5,1012,Credit
308,1999-03-01,132,1498,Emoney
309,2004-03-04,46,1880,Cash
310,2017-09-16,169,932,Credit
311,2019-02-21,185,1008,Emoney
312,2017-11-09,28,1350,Emoney
313,2019-08-20,100,1126,Credit
314,2002-04-17,187,1616,Debit
315,2013-07-19,41,1695,Credit
316,2018-05-29,83,1116,Debit
317,2015-07-10,112,133,Credit
318,2018-03-24,84,630,Credit
319,2006-05-13,162,719,Debit
320,2007-03-10,144,125,Cash
321,2019-11-04,163,807,Debit
322,2014-12-16,169,345,Credit
323,2015-08-12,5,486,Credit
324,2006-03-30,25,1209,Emoney
325,2002-05-06,143,857,Cash
326,2018-08-19,118,741,Debit
327,2017-08-10,148,32,Emoney
328,2012-02-09,144,1079,Cash
329,2011-01-01,53,445,Debit
330,1999-01-31,58,1020,Credit
331,2001-01-14,89,1680,Credit
332,2019-02-06,59,868,Cash
333,1997-09-05,31,1737,Credit
334,2018-02-13,46,65,Debit
335,2017-04-24,30,223,Emoney
336,1996-09-22,180,754,Emoney
337,2009-02-10,34,1743,Emoney
338,2011-11-29,127,155,Emoney
339,2002-11-14,6,1178,Credit
340,2013-10-21,118,1497,Credit
341,2000-03-06,37,174,Cash
342,1995-11-17,89,566,Emoney
343,2016-07-30,39,1916,Emoney
344,2006-02-16,120,810,Credit
345,2006-10-03,40,521,Emoney
346,2011-05-08,156,361,Cash
347,2016-05-01,140,74,Emoney
348,2010-11-25,75,1375,Debit
349,2008-06-19,100,869,Credit
350,2009-08-11,154,1037,Debit
351,2018-10-08,199,1906,Credit
352,2000-08-26,8,66,Cash
353,2001-10-26,162,1255,Cash
354,2009-01-07,16,783,Cash
355,1995-05-30,179,252,Credit
356,1996-09-18,85,1398,Credit
357,2012-05-19,96,1493,Cash
358,2012-08-26,176,118,Credit
359,2012-01-17,58,1412,Emoney
360,2018-01-26,100,713,Emoney
361,2005-04-06,81,1181,Cash
362,2005-11-06,55,521,Credit
363,2020-01-11,143,373,Debit
364,2005-10-14,105,835,Credit
365,2006-08-13,154,218,Debit
366,2018-12-30,82,1830,Debit
367,1998-09-30,165,1714,Emoney
368,2015-04-30,21,917,Cash
369,1995-03-21,66,1978,Credit
370,2000-02-05,116,229,Debit
371,2015-06-21,27,142,Credit
372,2005-04-14,185,1396,Cash
373,1997-08-22,122,10,Credit
374,1995-08-27,104,85,Emoney
375,2017-08-06,104,1796,Debit
376,2010-01-10,114,1137,Emoney
377,2005-10-20,40,780,Debit
378,2016-06-11,48,101,Debit
379,2004-10-20,169,1840,Debit
380,2011-05-20,188,1193,Credit
381,2007-08-04,84,1985,Credit
382,2016-04-03,28,696,Emoney
383,1995-02-17,48,816,Cash
384,2014-10-28,44,1377,Debit
385,1996-11-12,57,1515,Cash
386,1998-09-28,73,1270,Credit
387,1995-10-11,113,1500,Credit
388,2000-05-14,134,1265,Emoney
389,2005-09-09,120,1350,Credit
390,2000-09-16,94,1394,Emoney
391,2007-09-01,200,1862,Debit
392,2004-04-23,163,763,Debit
393,2002-11-08,16,1201,Debit
394,2009-04-19,13,1309,Emoney
395,2018-12-27,88,266,Emoney
396,1997-04-25,15,1665,Emoney
397,2017-04-03,89,252,Cash
398,2015-10-09,173,809,Emoney
399,1996-04-04,174,1526,Emoney
400,2020-08-05,54,220,Cash
401,2009-03-14,17,1089,Cash
402,2018-08-27,116,370,Cash
403,2020-10-28,120,1405,Credit
404,2019-12-12,187,1041,Emoney
405,1998-04-19,168,1698,Emoney
406,2013-01-01,185,1082,Credit
407,2017-11-23,12,1802,Debit
408,2013-04-29,132,1463,Credit
409,1995-10-04,166,1515,Debit
410,2016-03-25,117,619,Emoney
411,2014-04-23,194,1091,Cash
412,2003-04-07,151,967,Debit
413,2015-07-21,182,1935,Cash
414,2017-11-25,160,1142,Cash
415,2013-09-05,29,452,Cash
416,2005-04-06,26,564,Cash
417,2010-06-15,111,566,Emoney
418,2018-06-15,161,279,Debit
419,2010-07-27,139,1949,Emoney
420,2015-08-05,25,887,Cash
421,2007-12-21,174,700,Cash
422,2018-08-11,111,648,Debit
423,2009-06-10,179,1860,Debit
424,2009-03-16,47,1075,Emoney
425,1997-08-08,4,930,Debit
426,2015-10-14,18,539,Emoney
427,2018-07-17,118,213,Emoney
428,1997-02-16,143,960,Cash
429,2015-04-30,142,1925,Cash
430,2012-10-26,103,227,Debit
431,2000-05-02,133,1230,Credit
432,2012-08-10,176,244,Emoney
433,2009-03-20,172,998,Cash
434,2004-08-02,44,1083,Emoney
435,2013-05-31,49,1987,Debit
436,2013-12-02,165,298,Credit
437,2010-01-16,3,1100,Debit
438,2011-03-07,128,219,Cash
439,1996-07-18,47,1903,Cash
440,2007-02-18,172,944,Credit
441,2018-10-07,187,787,Emoney
442,2012-07-25,1,1038,Emoney
443,2002-09-10,109,982,Cash
444,2010-10-01,122,1681,Cash
445,1996-12-21,60,383,Credit
446,1999-10-13,153,1662,Emoney
447,2001-07-14,57,1898,Emoney
448,1996-04-21,76,522,Debit
449,2019-03-19,48,1535,Emoney
450,2020-06-14,36,185,Credit
451,1998-03-03,189,323,Cash
452,2014-09-08,129,1044,Cash
453,2003-11-27,124,1808,Credit
454,2004-10-07,29,315,Cash
455,2001-06-04,60,1050,Cash
456,1997-07-31,40,417,Emoney
457,2010-12-06,132,1957,Cash
458,2007-06-18,85,86,Credit
459,1996-12-22,172,520,Credit
460,2020-10-04,154,770,Emoney
461,2016-05-21,136,291,Emoney
462,2010-03-17,156,58,Debit
463,2020-02-20,107,669,Cash
464,2005-02-12,181,1430,Cash
465,2001-04-19,20,1439,Debit
466,2017-03-02,173,946,Credit
467,2006-06-03,155,1077,Debit
468,2007-09-06,77,1528,Emoney
469,2008-11-04,179,237,Emoney
470,2007-04-09,61,999,Debit
471,2014-03-06,180,204,Emoney
472,2005-05-03,55,248,Cash
473,2000-10-31,168,633,Cash
474,1996-01-26,180,1271,Emoney
475,1998-08-31,112,1479,Emoney
476,1995-07-02,93,1356,Credit
477,2009-03-13,36,1603,Cash
478,2015-02-21,177,492,Cash
479,2003-10-01,105,359,Debit
480,2002-02-16,159,1882,Debit
481,2004-12-05,104,778,Debit
482,2008-11-07,93,1473,Cash
483,2003-05-20,3,1463,Cash
484,2017-05-25,72,309,Emoney
485,2015-02-21,10,1613,Debit
486,2014-11-16,157,6,Emoney
487,2011-10-11,49,1704,Emoney
488,2007-04-04,125,1968,Debit
489,1996-06-25,188,149,Debit
490,2007-06-29,99,1891,Cash
491,1999-07-22,27,495,Emoney
492,2009-09-04,92,1222,Credit
493,2004-02-16,136,645,Credit
494,2020-09-26,152,221,Emoney
495,2008-10-12,44,1446,Cash
496,1995-08-12,136,1829,Debit
497,2003-08-23,189,616,Credit
498,1995-09-02,182,587,Cash
499,2017-09-10,48,533,Cash
500,1996-04-05,167,347,Credit
501,2013-07-22,22,1491,Credit
502,2014-06-28,89,411,Emoney
503,2017-03-02,53,1433,Cash
504,1996-05-06,179,712,Debit
505,2001-12-29,173,1360,Cash
506,2010-07-13,16,1944,Credit
507,2005-05-26,107,391,Emoney
508,2007-12-07,117,159,Emoney
509,2002-02-06,39,1945,Cash
510,2011-06-20,94,975,Credit
511,1997-01-21,145,1944,Emoney
512,2004-10-19,198,351,Emoney
513,2001-12-09,183,123,Cash
514,2014-02-10,51,586,Debit
515,2003-09-05,167,1893,Cash
516,2004-08-17,23,1434,Credit
517,1998-03-14,168,483,Debit
518,1995-10-03,137,1140,Emoney
519,2008-08-25,8,1214,Cash
520,2008-07-20,142,1108,Credit
521,2017-04-09,138,814,Cash
522,1996-07-19,31,75,Debit
523,1997-02-25,42,904,Cash
524,2013-02-23,9,1037,Emoney
525,2011-05-17,150,1145,Cash
526,2016-09-09,159,1127,Credit
527,2011-12-13,108,481,Credit
528,2001-11-28,197,1533,Cash
529,2004-01-19,10,1235,Cash
530,2018-01-26,59,1079,Cash
531,2000-03-04,170,1881,Cash
532,1999-12-12,69,1399,Cash
533,2017-01-01,114,399,Debit
534,2015-09-09,126,1668,Emoney
535,2012-02-22,6,1423,Cash
536,1998-03-07,65,12,Cash
537,2003-12-15,108,276,Cash
538,2011-08-23,199,848,Cash
539,2016-07-31,114,1782,Emoney
540,2019-01-13,52,433,Cash
541,1995-10-03,91,665,Credit
542,2002-03-22,191,1242,Emoney
543,2011-06-04,200,385,Emoney
544,2005-02-12,139,974,Emoney
545,2001-01-30,177,1115,Debit
546,2014-06-27,93,321,Credit
547,2010-08-11,44,1881,Emoney
548,1995-04-11,175,783,Emoney
549,1997-07-02,181,1401,Emoney
550,2014-08-24,178,1722,Debit
551,2009-06-05,160,837,Credit
552,1999-03-18,18,1267,Cash
553,1998-04-09,118,783,Cash
554,2008-04-19,29,1508,Debit
555,2015-10-27,49,1937,Emoney
556,2003-10-06,108,312,Debit
557,2014-03-09,184,1947,Emoney
558,2010-11-28,79,305,Emoney
559,2017-08-15,85,446,Emoney
560,2001-08-30,61,1283,Credit
561,2010-03-06,184,1484,Cash
562,2003-10-29,159,1899,Debit
563,2017-11-06,30,1727,Cash
564,2005-01-20,163,695,Debit
565,2007-10-13,149,652,Credit
566,2009-01-27,12,1611,Cash
567,2006-03-18,65,831,Credit
568,2017-09-10,161,1902,Credit
569,2006-06-28,146,1501,Emoney
570,2008-04-14,195,241,Credit
571,1999-06-16,85,1245,Debit
572,2011-08-08,13,775,Debit
573,2010-03-12,74,1216,Credit
574,2016-02-02,5,1785,Debit
575,2009-08-06,21,705,Debit
576,2013-05-26,103,6,Credit
577,2010-10-28,97,1027,Debit
578,2017-04-03,115,1884,Credit
579,2005-01-07,123,1384,Cash
580,2006-02-21,10,1341,Debit
581,2000-01-13,194,1246,Emoney
582,2008-11-18,27,299,Cash
583,1998-10-31,185,832,Emoney
584,2015-07-19,106,1392,Credit
585,2003-08-16,190,1110,Emoney
586,2012-08-29,74,425,Cash
587,1999-04-09,60,659,Credit
588,1996-09-05,58,261,Emoney
589,2004-08-20,120,842,Emoney
590,2002-02-27,68,1157,Credit
591,2020-12-13,158,1483,Emoney
592,2002-06-27,177,1931,Emoney
593,2005-08-30,176,1057,Emoney
594,1997-05-22,47,1044,Debit
595,2015-08-15,16,1007,Emoney
596,2004-02-03,165,1186,Cash
597,2007-12-24,61,1490,Cash
598,2003-01-24,23,1002,Debit
599,2003-10-29,132,920,Emoney
600,2007-11-26,181,1073,Emoney
601,2005-06-10,76,552,Emoney
602,2016-01-12,105,576,Cash
603,2010-02-26,149,1631,Emoney
604,2012-11-05,21,800,Emoney
605,2007-02-17,95,34,Credit
606,2011-10-15,120,1995,Emoney
607,1996-02-12,113,1605,Cash
608,2020-06-16,68,853,Debit
609,2004-05-29,155,1728,Cash
610,2008-11-08,118,39,Cash
611,1997-01-28,189,927,Emoney
612,2004-06-07,117,1249,Emoney
613,2014-06-12,48,1239,Debit
614,2011-08-11,161,762,Emoney
615,2013-07-28,67,1937,Credit
616,2002-10-27,136,1019,Cash
617,2003-08-16,91,918,Emoney
618,2018-01-07,80,1488,Debit
619,2018-06-22,57,1762,Debit
620,2008-07-04,161,1920,Debit
621,2004-04-24,11,1896,Cash
622,2004-02-06,40,1719,Debit
623,2008-11-26,49,925,Cash
624,1995-02-17,145,954,Debit
625,2003-09-27,40,267,Cash
626,1998-07-31,146,584,Cash
627,2010-10-14,11,195,Credit
628,1998-01-20,133,1582,Emoney
629,2005-04-30,193,474,Emoney
630,2012-07-07,24,943,Emoney
631,1999-02-19,186,1686,Debit
632,2011-11-05,18,1168,Cash
633,2009-07-04,76,793,Debit
634,2001-06-24,17,236,Emoney
635,2020-01-26,2,1912,Credit
636,2019-01-26,36,1013,Credit
637,2018-08-18,123,1951,Credit
638,1996-05-09,125,1313,Emoney
639,2017-06-21,10,82,Credit
640,2015-02-26,58,390,Cash
641,2003-02-18,122,1409,Cash
642,2020-03-01,30,610,Debit
643,2000-11-07,37,1808,Debit
644,1996-09-02,54,1717,Debit
645,2002-10-08,40,166,Cash
646,2004-04-16,35,912,Cash
647,2002-11-03,2,428,Cash
648,1995-03-31,136,1219,Cash
649,2005-05-14,88,1471,Cash
650,2017-10-28,111,1021,Cash
651,2002-08-25,121,1445,Cash
652,2008-08-14,30,1348,Cash
653,2010-10-02,80,1675,Cash
654,2015-07-03,192,197,Credit
655,2014-01-08,41,1583,Debit
656,2005-07-18,186,1760,Emoney
657,2005-10-09,142,203,Credit
658,2007-03-14,185,69,Debit
659,2007-12-28,41,1945,Emoney
660,2013-10-09,54,136,Debit
661,2000-05-07,94,1845,Credit
662,2005-02-18,149,530,Cash
663,2009-12-09,54,565,Credit
664,2011-08-26,14,1594,Emoney
665,2018-10-28,173,1459,Debit
666,2008-02-17,21,692,Debit
667,2015-09-30,124,1586,Cash
668,2017-07-11,196,1428,Debit
669,2002-04-26,184,1185,Cash
670,1996-12-11,81,950,Debit
671,2011-09-23,184,817,Debit
672,1999-10-04,48,616,Emoney
673,2005-08-12,10,160,Cash
674,1999-05-05,25,1279,Debit
675,2013-08-27,124,1084,Credit
676,2008-10-22,163,1336,Debit
677,2018-09-16,144,1361,Emoney
678,2006-01-24,45,1340,Credit
679,2008-08-01,22,1266,Emoney
680,2011-02-10,112,1343,Debit
681,2005-08-03,61,198,Credit
682,2009-01-09,91,1229,Cash
683,2012-04-07,165,574,Cash
684,1999-06-19,102,1950,Cash
685,2010-11-17,49,1497,Credit
686,2014-11-08,81,1377,Cash
687,2004-12-28,117,320,Debit
688,1998-11-21,132,1355,Emoney
689,2000-04-01,48,852,Debit
690,1996-05-01,178,484,Debit
691,2020-01-14,73,1001,Cash
692,2009-01-11,124,1352,Debit
693,1997-09-12,13,1676,Credit
694,2007-08-20,169,1418,Debit
695,1995-10-14,101,1467,Emoney
696,1996-03-13,2,326,Credit
697,2005-01-07,108,740,Emoney
698,2016-12-29,111,1089,Cash
699,2004-11-02,34,1923,Cash
700,2018-10-08,3,1445,Credit
701,2006-06-05,136,1979,Credit
702,2015-12-05,147,1473,Debit
703,1995-09-12,61,218,Debit
704,2016-08-29,130,749,Credit
705,2008-11-05,155,1125,Cash
706,2017-07-22,142,124,Cash
707,2000-07-15,96,1227,Cash
708,2004-12-09,2,201,Debit
709,2001-08-18,28,1882,Cash
710,2002-12-25,83,1393,Emoney
711,2006-07-21,35,637,Credit
712,1999-03-24,124,1607,Credit
713,2000-12-26,111,1708,Credit
714,2007-08-16,40,245,Debit
715,2003-02-14,189,1993,Credit
716,2000-05-21,27,549,Credit
717,2003-03-17,13,1345,Debit
718,2008-09-04,124,1570,Cash
719,2015-09-10,106,1617,Credit
720,1996-07-21,184,1831,Debit
721,2017-08-24,131,902,Emoney
722,1995-09-25,94,513,Emoney
723,2013-05-16,191,182,Emoney
724,2005-12-19,137,1337,Cash
725,2001-05-04,16,356,Debit
726,1996-01-04,178,1954,Debit
727,2000-07-01,70,326,Credit
728,2020-10-24,122,176,Debit
729,2007-05-23,76,1047,Emoney
730,2004-03-19,85,1730,Cash
731,2019-10-19,23,228,Debit
732,1996-07-08,63,369,Emoney
733,2006-07-27,137,427,Credit
734,2002-10-25,194,1069,Credit
735,1997-02-03,192,1627,Cash
736,2016-08-06,9,1890,Emoney
737,2016-12-21,196,1510,Credit
738,2002-10-31,160,1321,Credit
739,2004-11-01,81,1489,Cash
740,2017-10-25,111,1490,Cash
741,2005-08-25,174,179,Debit
742,2009-09-30,181,286,Debit
743,2003-01-09,34,515,Emoney
744,1995-02-20,68,1671,Cash
745,2003-05-13,171,362,Cash
746,1997-10-04,189,790,Cash
747,1997-05-24,92,98,Debit
748,2009-04-01,73,243,Emoney
749,2013-10-29,67,525,Credit
750,2011-04-27,44,770,Debit
751,1995-05-02,136,1205,Emoney
752,2003-11-11,134,749,Cash
753,2002-03-14,193,1834,Cash
754,2009-10-18,56,431,Debit
755,1997-03-28,109,704,Credit
756,2020-11-26,144,257,Emoney
757,2018-06-03,190,12,Debit
758,2014-12-28,166,409,Emoney
759,2003-08-15,183,122,Emoney
760,2017-09-21,182,413,Credit
761,2020-07-01,190,280,Credit
762,2015-02-25,26,229,Credit
763,2019-09-09,2,1373,Cash
764,2010-08-14,31,172,Credit
765,2006-01-14,193,630,Debit
766,2018-03-08,134,145,Credit
767,2016-10-18,33,713,Credit
768,2008-06-07,93,1766,Debit
769,2006-10-02,106,1615,Cash
770,2007-07-18,21,1923,Credit
771,2014-11-17,71,1873,Credit
772,2009-09-21,153,59,Debit
773,1995-03-17,55,1761,Emoney
774,2010-05-17,66,57,Credit
775,2011-06-16,22,1010,Cash
776,2018-09-14,3,323,Emoney
777,2011-03-30,17,987,Credit
778,2010-11-14,122,651,Cash
779,2015-09-08,194,1711,Debit
780,2002-07-22,99,689,Credit
781,2000-05-15,82,602,Credit
782,2000-07-11,65,1978,Cash
783,2006-09-14,21,298,Emoney
784,2012-10-22,176,536,Cash
